Cluster: NL	Non-linguistic cluster
marking	0.0026523668276813976
adjective	0.0026361228436819054
baker	0.002626958397123107
dependency	0.0025958380995176134
gender	0.0025921423355862827
unto	0.002552537756919264
insertion	0.002525066527792413
pred	0.0025198061309894652
grammar	0.002498758759237333
dal	0.0024976198847572965
entspricht	0.002452166144949389
realization	0.002449693866300291
spec	0.0024470264056515264
employer	0.0024329048272113208
stems	0.002400111789347273
hw	0.0023963390076453535
stanford	0.0023919629729036093
recht	0.002361655214310639
aufgaben	0.002344169604078308
dialect	0.002323271442405342
covert	0.0023041650244959412
predicts	0.0022804309833309474
harley	0.0022119502729076746
pragmatic	0.0022000786926906395
blocking	0.0021973276134426628
nasal	0.0021817699006158138
attested	0.002180064108406359
norwegian	0.0021609926195417027
applicant	0.0021375414603820664
hari	0.002121145548308202
lexical	0.002086285340696017
sg	0.002066336813695275
dordrecht	0.0020474948069255402
constructions	0.002033226859258527
amd	0.0019983904381286784
intonation	0.0019951068923991463
ada	0.0019798414699541294
korean	0.001943212662743878
lease	0.0019279599117409743
derivation	0.001926256338323297
singular	0.0019123886255828868
constituent	0.001870984555850454
dialects	0.0018639544694426349
nouns	0.00182642037515451
deletion	0.001821210274363998
thy	0.0018097740457947013
portugiesischen	0.001800517269209557
referential	0.0017773216207016202
syllable	0.0017685767861716393
bare	0.0017617897944499459
predicates	0.0017597218269437697
hath	0.0017592572349438321
consonant	0.0017552275434779413
italian	0.0017420206161817687
suffix	0.0017377496792790948
plausibility	0.0017243633864339504
filing	0.0016838756925898774
licensing	0.0016679975719140002
locality	0.0016674166313363555
plural	0.0016580533234449484
translational	0.0016419681563163153
intransitive	0.0016047363394895186
atten	0.0016036196329101244
hans	0.0015998455901738617
neg	0.0015892557747620012
contracting	0.0015775955256382191
turkish	0.0015634631942929133
classifier	0.0015631967118664156
irish	0.0015592068897735405
relational	0.001553410522323983
romance	0.001546547198989058
prominence	0.0015221614219128622
syntactically	0.0015220553857651716
semantically	0.0015140766756876222
asymmetries	0.0014994637303897625
nps	0.0014891191801426327
applicative	0.0014687741521299846
det	0.0014685881116521604
vp	0.0014575193168391489
pronoun	0.0014517218228529798
defendant	0.0014490367929523359
adverb	0.0014247838930552014
morphology	0.001409378572462578
thou	0.0013892200070722723
utterance	0.001386718491290371
usc	0.0013733881378503764
overt	0.0013733243479851524
bantu	0.0013731202922365629
grammatical	0.001369878761492691
utterances	0.001367530794733276
parsing	0.0013338550571427362
vowel	0.0013325401047071797
og	0.001318808042555303
possessive	0.0013099308349384293
ticle	0.0013063787352956173
collateral	0.0013013282697644786
faithfulness	0.0013001623057628591
animate	0.0012962179516520075
vowels	0.0012902300134382484
